,index,in_data,u,g,r,Ha,i,r.Ha.i,Rne,coherent,shape,best_filter,comment,ra,dec,ppvii_f,esplin_f,dunhmart_f,ppvii_i,esplin_i,dunhmart_i,class_duh,alpha0,Region,Source,2MASS/SSTc2d,RA,Dec,EDR3_plx,EDR3_err_plx,EDR3_dist_pc,EDR3_RUWE,EDR3_Dist_PPVII,PM_EDR3_mas,Disk,Disk_Flag,Observatory,Freq_GHz,Wavelength,Beam_arcsec,RMS_mJy/beam,Survey_Ref,Flux_mJy,eFlux_mJy,Flux_mJy_Standardized,Mdust_Mearth_Standardized,Standardized_Mdust_Mearth,Size_as,eSize_as,H20_lR68,H20_R68_arcsec,H20_R68_au_DR3,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Notes,Object,dist_xs,SpT_xs,Teff_xs,Av_xs,Lstar_xs,logLacc_xs,Mstar_B15_xs,logMacc_B15_xs,Mstar_S00_xs,logMacc_S00_xs,Notes_xs,ref_xs,Source_check,Teff_HH14,Lstar_xs_DR3,logLacc_xs_DR3,Mstar_B15_xs_DR3,logMacc_B15_xs_DR3,Mstar_S00_xs_DR3,logMacc_S00_xs_DR3,Mstar_Fei_xs_DR3,logMacc_Fei_xs_DR3,Mstar_PPVII,logMacc_PPVII,notes_Macc_PPVII,dist_PPVII,2MASS,WISE,Gaia,GP75RCrA,TS84,HBC,WMB97,CrAPMS,P98c,ISOCrA,RX,LEM2005b,FP2007,SHJ2008,GMM2009,PCB2011,OName,RAdeg,DEdeg,Ref-Pos,SpType,r_SpType,Adopt,GaiapmRA,e_GaiapmRA,GaiapmDec,e_GaiapmDec,plx,e_plx,RUWE,kin,r-med-geo,r-lo-geo,r-hi-geo,IRpmRA,e_IRpmRA,IRpmDec,e_IRpmDec,RVel,e_RVel,r_RVel,U,e_U,V,e_V,W,e_W,Gmag,e_Gmag,GBPmag,e_GBPmag,GRPmag,e_GRPmag,Jmag,e_Jmag,r_Jmag,Hmag,e_Hmag,r_Hmag,Kmag,e_Kmag,r_Kmag,3.6mag,e_3.6mag,f_3.6mag,4.5mag,e_4.5mag,f_4.5mag,5.8mag,e_5.8mag,f_5.8mag,8.0mag,e_8.0mag,f_8.0mag,24mag,e_24mag,f_24mag,W1mag,e_W1mag,f_W1mag,W2mag,e_W2mag,f_W2mag,W3mag,e_W3mag,f_W3mag,W4mag,e_W4mag,f_W4mag,Exc4.5,Exc8.0,Exc24,ExcW2,ExcW3,ExcW4,DiskType,Ak,f_Ak,radunhmart,decdunhmart,Name,alpha0dunhmart,alpha,dunham_alpha,source,source_id
0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,True,no,no,no,faint,no,faint,3.0,y,tail,Ha,maybe very faint nebulosity in other filters,285.4802024,-37.3947436,True,True,True,876.0,345.0,120933.0,II,-0.7945060914854103,CrA,CrA-55,J19015523-3723407,19:01:55.230,-37:23:41.000,6.6159,0.1746,151.15,6.134,156.0,"[6.351, -24.628]",II,1.0,"[, ALMA]","[, 230]","[, 1.3]","[, 0.33x0.31]","[, 0.10]","[, Cazzoletti+2019]","[, 0.81]","[, 0.14]","[, 0.81]","[, 0.56]",0.56,,,,--,#VALUE!,,,,,,,,J19015523-3723407,156.84,--,4210,,0.7762471166,--,0.87,--,--,--,--,,CrA-55,4118.0,0.767,-99.0,0.766,-106,0.8149,-106,0.71,-106.02,0.71,-106.02,--,,19015523-3723407,WISEA J190155.24-372341.0,6.71880075341625e+18,0,0,289.0,0,0,0,0.0,0,0.0,0,0.0,0.0,55.0,DG CrA,285.480219,-37.394786,Gaia,"K0,K5.0,K7","4,24,1",K7,6.351,0.156,-24.628,0.14,6.616,0.175,6.13,Y,150.468,147.636,154.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.601,0.028,13.42,0.081,11.408,0.053,9.78,0.02,2MASS,8.71,0.02,2MASS,7.95,0.03,2MASS,0.0,0.0,out,0.0,0.0,out,0.0,0.0,out,0.0,0.0,out,1.74,0.02,0,7.386,0.033,0,6.929,0.02,0,4.494,0.014,0,1.899,0.014,0,0,0,Y,Y,Y,Y,full,0.37,J-H,285.4802024,-37.3947436,J190155.24-372341.0 ,-0.7945060914854103,-0.4845060914854103,False,marton16,120933.0
4,4,True,no,no,no,no,no,no,1.0,,,,"can’t see the star in the u band, the point at se is a brown dwarf candidate",285.1888232,-37.1967748,True,True,True,847.0,295.0,120934.0,II,-1.32,CrA,CrA-8,J19004530-3711480,19:00:45.310,-37:11:48.200,6.1432,0.1639,162.78,1.062,162.78,"[5.442, -28.575]",II,1.0,"[, ALMA]","[, 230]","[, 1.3]","[, 0.33x0.31]","[, 0.16]","[, Cazzoletti+2019]","[, 2.06]","[, 0.17]","[, 2.06]","[, 1.54]",1.54,,,,--,#VALUE!,,,,,,,,J19004530-3711480,166.99,--,2770,,0.02818382931,--,0.05,--,--,--,--,,CrA-8,2705.0,0.026,-99.02,0.045,-105.2,,,,,0.045,-105.2,--,,19004530-3711480,WISEA J190045.31-371148.3,6.730819244445652e+18,0,0,0.0,0,0,0,0.0,0,444.0,0,0.0,0.0,8.0,0,285.188835,-37.196815,Gaia,"M7.75,M7.5,M8.5","1,1,12",M7.5,5.442,0.169,-28.575,0.143,6.143,0.164,1.06,Y,162.567,158.339,167.621,0.0,0.0,0.0,0.0,-0.21,0.05,2.0,-3.93,0.131,-19.054,0.518,-11.197,0.373,17.36,0.003,20.29,0.081,15.812,0.009,12.96,0.01,VHS,12.34,0.03,2MASS,11.9,0.03,2MASS,11.425,0.02,0,11.125,0.02,0,10.76,0.02,0,10.073,0.02,0,6.758,0.02,0,11.629,0.023,0,11.105,0.021,0,9.118,0.033,0,7.019,0.118,0,Y,Y,Y,Y,Y,Y,full,0.0,IR spec,285.1888232,-37.1967748,J190045.31-371148.3 ,-1.32,-0.9,True,marton16,120934.0
5,5,True,no,no,no,no,no,no,1.0,,,,,283.8421597,-37.8012568,False,True,True,,251.0,120939.0,II,-0.632502859629099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WISEA J185522.11-374804.5,6.730717024217229e+18,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,283.842308,-37.801149,Gaia,M3.5,1,M3.5,3.983,0.135,-28.725,0.123,5.827,0.214,1.05,N,170.991,165.195,176.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.485,0.071,18.801,0.013,14.809,0.044,14.23,0.01,VHS,0.0,0.0,0,12.04,0.01,VHS,0.0,0.0,out,0.0,0.0,out,0.0,0.0,out,0.0,0.0,out,0.0,0.0,out,10.202,0.022,bin,9.716,0.02,bin,7.443,0.018,bin,4.279,0.028,bin,0,0,0,Y,Y,Y,full,0.1,IR spec,283.8421597,-37.8012568,J185522.11-374804.5 ,-0.632502859629099,-0.3225028596290989,False,marton16,120939.0
6,6,True,no,faint,no,faint,faint,faint,3.0,y,tail,,g is even more faint,284.165616,-37.1224482,True,True,True,843.0,257.0,120940.0,II,-1.38,CrA,CrA-1,J18563974-3707205,18:56:39.760,-37:07:20.800,6.6642,0.0545,150.06,1.392,150.06,"[0.114, -28.781]",II,1.0,"[, ALMA]","[, 230]","[, 1.3]","[, 0.33x0.31]","[, 0.10]","[, Cazzoletti+2019]","[, ??]","[, ??]","[, <0.30]","[, <0.19]",<0.19,,,,--,#VALUE!,,,,,,,,J18563974-3707205,159.19,--,2860,,0.1258925412,--,0.1,--,--,--,--,,CrA-1,2758.0,0.111,-99.05,,,,,,,,,--,,18563974-3707205,WISEA J185639.74-370720.8,6.730864599300177e+18,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,1.0,0,284.165614,-37.122505,Gaia,"M6.5,M6,M6","1,1,5",M6,0.114,0.053,-28.781,0.046,6.664,0.054,1.39,Y,148.517,147.336,149.688,0.0,0.0,0.0,0.0,-4.23,0.06,2.0,-6.468,0.062,-18.942,0.162,-6.032,0.073,14.743,0.003,17.073,0.01,13.342,0.008,10.99,0.02,2MASS,10.39,0.02,2MASS,10.05,0.02,2MASS,9.439,0.02,0,9.166,0.02,0,8.742,0.02,0,8.061,0.02,0,5.794,0.02,0,9.729,0.023,0,9.241,0.02,0,7.466,0.02,0,5.849,0.051,0,Y,Y,Y,Y,Y,Y,full,0.05,IR spec,284.165616,-37.1224482,J185639.74-370720.8 ,-1.38,-1.17,True,marton16,120940.0
7,7,True,no,no,no,faint,faint,faint,2.0,y,env,r.Ha.i,"extended, check scale",285.3573893,-36.9887329,True,True,True,866.0,311.0,120961.0,III,-1.63,CrA,CrA-40,J19012576-3659191,19:01:25.750,-36:59:19.100,--,--,--,--,156.0,"[, ]",II,1.0,"[, ALMA]","[, 230]","[, 1.3]","[, 0.33x0.31]","[, 0.11]","[, Cazzoletti+2019]","[, ??]","[, ??]","[, <0.33]","[, <0.23]",<0.23,,,,--,#VALUE!,,,,,,,,J19012576-3659191,160.89,--,3085,,0.2187761624,--,0.18,--,--,--,--,,CrA-40,2943.0,0.205,-99.02,,,0.145,-105.3,,,0.145,-105.3,--,,19012576-3659191,WISEA J190125.77-365919.4,6.731198228055759e+18,0,0,0.0,185802.9-370344,0,0,134.0,0,0.0,190125.75-365919.3,0.0,16.0,40.0,VSST 18,285.357399,-36.98877,Gaia,"K1-K5,M4.5","16,5",M4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.29,0.11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.907,0.014,19.05,0.066,15.208,0.005,11.61,0.02,2MASS,9.78,0.02,2MASS,8.77,0.02,2MASS,7.828,0.02,0,7.24,0.02,0,6.907,0.02,0,6.61,0.02,0,4.57,0.02,0,7.864,0.025,0,7.185,0.019,0,6.28,0.017,0,4.808,0.035,0,Y,Y,Y,Y,Y,Y,full,1.22,J-H,285.3573893,-36.9887329,J190125.77-365919.4 ,-1.63,-1.38,True,marton16,120961.0
8,8,True,no,visible,visible,prominent,prominent,prominent,5.0,y,"tail, arc",Ha,,285.2858827,-36.9557473,True,True,True,879.0,302.0,120962.0,II,-1.22,CrA,S CrA N,J19010860-3657200,19:01:08.620,-36:57:20.300,6.2291,0.0683,160.54,2.104,156.0,"[7.054, -26.511]",II,1.0,"[, ALMA]","[, 230]","[, 1.3]","[, 0.33x0.31]","[, 10.40]","[, Cazzoletti+2019]","[, 140.30]","[, 2.00]","[, 140.30]","[, 96.48]",96.48,,,,--,#VALUE!,,,,,,,,J19010860-3657200,152.95,--,3900,,9.332543008,--,0.69,--,--,--,--,,S CrA N,3928.0,9.708,-98.98,,,,,,,,,--,,19010860-3657200,WISEA J190108.61-365720.6,6.731210253964165e+18,0,0,286.0,0,0,R08,116.0,0,0.0,190108.60-365721.3,0.0,12.0,0.0,S CrA A,285.285839,-36.955597,Gaia,"G5,K6,K6,K3","14,4,2,15",K3,7.054,0.061,-26.511,0.057,6.229,0.068,2.1,Y,160.415,158.748,162.161,0.0,0.0,0.0,0.0,0.86,0.05,2.0,-2.945,0.068,-16.9,0.199,-11.93,0.152,11.454,0.028,11.691,0.064,10.117,0.048,8.19,0.02,2MASS,7.05,0.02,2MASS,6.11,0.02,2MASS,4.721,0.02,bin,4.138,0.02,bin,3.75,0.02,bin,3.116,0.02,bin,0.311,0.02,bin,0.0,0.0,sat,0.0,0.0,err,2.08,0.013,bin,0.003,0.013,bin,Y,Y,Y,0,Y,Y,full,0.83,J-H,285.2858827,-36.9557473,J190108.61-365720.6 ,-1.22,-0.8,True,marton16,120962.0
9,9,True,no,no,no,no,no,no,1.0,,,,"very faint point source maybe in Ha, region of nebulosity but the star is not visible",285.3847256,-36.9676053,True,True,True,852.0,315.0,120963.0,III,-1.71,CrA,CrA-15,J19013232-3658030,19:01:32.310,-36:58:03.000,--,--,--,--,156.0,"[, ]",II,1.0,"[, ALMA]","[, 230]","[, 1.3]","[, 0.33x0.31]","[, 0.08]","[, Cazzoletti+2019]","[, ??]","[, ??]","[, <0.24]","[, <0.17]",<0.17,,,,--,#VALUE!,,,,,,,,J19013232-3658030,160.89,--,3300,,0.1659586907,--,0.24,--,--,--,--,,CrA-15,3237.0,0.156,-99.02,0.212,-105.6,0.2325,-105.6,0.21,-105.65,0.212,-105.6,--,,19013232-3658030,WISEA J190132.33-365803.3,6.73119864037804e+18,0,2.9,0.0,185809.8-370224,0,0,139.0,0,0.0,190132.34-365803.1,87.0,17.0,15.0,0,285.38473,-36.967632,Gaia,"M4,M3-M4,M1.5","1,13,11",M4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.03,0.06,0.0,0.0,19.715,0.086,14.91,0.01,VHS,12.62,0.03,2MASS,11.43,0.02,2MASS,10.541,0.02,0,10.139,0.02,0,9.576,0.02,0,9.307,0.03,0,6.58,0.03,0,10.757,0.023,0,10.112,0.022,0,8.552,0.038,0,0.0,0.0,false/unres,Y,Y,Y,Y,Y,0,full,0.64,IR spec,285.3847256,-36.9676053,J190132.33-365803.3 ,-1.71,-1.19,True,marton16,120963.0
