Region	Source	2MASS/SSTc2d	RA	Dec	EDR3_plx	EDR3_err_plx	EDR3_dist_pc	EDR3_RUWE	EDR3_Dist_PPVII	PM_EDR3_mas	Disk	Disk_Flag	Observatory	Freq_GHz	Wavelength	Beam_arcsec	RMS_mJy/beam	Survey_Ref	Flux_mJy	eFlux_mJy	Flux_mJy_Standardized	Mdust_Mearth_Standardized	Standardized_Mdust_Mearth	Size_as	eSize_as	H20_lR68	H20_R68_arcsec	H20_R68_au_DR3							Notes	Object	dist_xs	SpT_xs	Teff_xs	Av_xs	Lstar_xs	logLacc_xs	Mstar_B15_xs	logMacc_B15_xs	Mstar_S00_xs	logMacc_S00_xs	Notes_xs	ref_xs	Source_check	Teff_HH14	Lstar_xs_DR3	logLacc_xs_DR3	Mstar_B15_xs_DR3	logMacc_B15_xs_DR3	Mstar_S00_xs_DR3	logMacc_S00_xs_DR3	Mstar_Fei_xs_DR3	logMacc_Fei_xs_DR3	Mstar_PPVII	logMacc_PPVII	notes_Macc_PPVII	dist_PPVII
Lupus	Sz65	J15392776-3446171	15:39:27.753	-34:46:17.577	6.5159	0.0253	153.47	1.417	153.47	[-13.218, -22.121]	II	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.30, 0.12]	[Ansdell+2016, Ansdell+2018]	[64.49, 29.94]	[0.32, 0.20]	[64.49, 29.94]	[15.87, 21.19]	21.19	[, 0.43]	[, 0.01]	--	0.14	21.4858								Sz65	155.29	K7	4060	0.6	0.89	-2.57	0.7	-9.54	0.75	-9.56	,a	Alcala+14,17,19	Sz65	4020	0.869	-2.58	0.661	-9.516	0.725	-9.556	0.61	-9.48	0.61	-9.48	<	153.47
Lupus	Sz66	J15392828-3446180	15:39:28.264	-34:46:18.450	6.4134	0.0269	155.92	1.200	155.92	[-13.124, -21.807]	II	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.27, 0.13]	[Ansdell+2016, Ansdell+2018]	[14.78, 6.42]	[0.29, 0.18]	[14.78, 6.42]	[3.75, 4.69]	4.69	[, ]	[, ]	<	0.08	12.4736								Sz66	157.34	M3	3415	1	0.22	-1.76	0.29	-8.5	0.31	-8.53	,	Alcala+14,17,19	Sz66	3410	0.216	-1.767	0.291	-8.508	0.3125	-8.538	0.31	-8.54	0.291	-8.508	--	155.92
Lupus	J15430131-3409153	J15430131-3409153	15:43:01.290	-34:09:15.400	--	--	--	--	158	[, ]	F	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.39, 0.12]	[Ansdell+2016, Ansdell+2018]	[0.01, -0.24]	[0.31, 0.09]	[<0.93, <0.27]	[<0.24, <0.20]	<0.20	[, ]	[, ]	--	--	#VALUE!								J15430131-3409153	--	--	--	--	--	--	--	--	--	--		--	J15430131-3409153	-99	-99	-99	-99	--	-99	--	-99	-99	-99	-99	--	-99
Lupus	J15430227-3444059	J15430227-3444059	15:43:02.290	-34:44:06.200	-0.0997	0.2261	-10030.09	1.018	158	[-0.114, 0.037]	F	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.34, 0.10]	[Ansdell+2016, Ansdell+2018]	[0.22, 0.00]	[0.27, 0.09]	[<0.81, <0.27]	[<0.21, <0.20]	<0.20	[, ]	[, ]	--	--	#VALUE!								J15430227-3444059	--	--	--	--	--	--	--	--	--	--		--	J15430227-3444059	-99	-99	-99	-99	--	-99	--	-99	-99	-99	-99	--	-99
Lupus	J15445789-3423392	J15445789-3423392	15:44:57.900	-34:23:39.500	6.4956	0.0772	153.95	1.201	153.95	[-18.940, -22.748]	II	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.24, 0.10]	[Ansdell+2016, Ansdell+2018]	[-0.05, 0.12]	[0.18, 0.09]	[<0.54, <0.27]	[<0.13, <0.19]	<0.19	[, ]	[, ]	--	--	#VALUE!								AKC2006-19	152.89	M5	3125	0	0.02	-4.08	0.14	-10.97	0.12	-10.92	,	Alcala+14,17,19	J15445789-3423392	2980	0.02	-4.073	0.087	-10.68	0.1	-10.74	0.09	-10.7	0.087	-10.68	--	153.95
Lupus	J15450634-3417378	J15450634-3417378	15:45:06.322	-34:17:38.332	--	--	--	--	158	[, ]	F	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.34, 0.11]	[Ansdell+2016, Ansdell+2018]	[15.00, 6.18]	[0.40, 0.15]	[15.00, 6.18]	[3.91, 4.64]	4.64	[, ]	[, ]	<	0.08	12.64								J15450634-3417378	--	--	--	--	--	--	--	--	--	--		--	J15450634-3417378	-99	-99	-99	-99	--	-99	--	-99	-99	-99	-99	--	-99
Lupus	J15450887-3417333	J15450887-3417333	15:45:08.852	-34:17:33.835	6.4595	0.1448	154.81	1.137	154.81	[-15.208, -22.202]	II	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.40, 0.12]	[Ansdell+2016, Ansdell+2018]	[46.27, 20.70]	[0.50, 0.18]	[46.27, 20.70]	[11.59, 14.91]	14.91	[, ]	[, ]	--	0.12	18.5772								J15450887-3417333	154.96	M5.5	3060	5.5	0.06	-1.77	0.14	-8.36	0.12	-8.32	,	Alcala+14,17,19	J15450887-3417333	2920	0.059	-1.77	0.092	-8.156	0.1	-8.19	0.09	-8.14	0.092	-8.156	--	154.81
Lupus	Sz68	J15451286-3417305	15:45:12.849	-34:17:31.071	6.5157	0.0548	153.48	3.402	158	[-14.243, -21.780]	II	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.61, 0.18]	[Ansdell+2016, Ansdell+2018]	[150.37, 66.38]	[0.46, 0.20]	[150.37, 66.38]	[39.22, 49.80]	49.8	[, 0.25]	[, 0.01]	--	--	#VALUE!								Sz68	154.19	K2	4900	1	5.42	-1.18	nan	nan	2.15	-8.4	,a	Alcala+14,17,19	Sz68	4710	5.691	-1.158	nan	nan	1.9099	-8.285	1.32	-8.12	1.32	-8.12	<	158.5
Lupus	Sz69	J15451741-3418283	15:45:17.391	-34:18:28.685	6.5548	0.0689	152.56	1.494	152.56	[-14.943, -22.579]	II	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.24, 0.11]	[Ansdell+2016, Ansdell+2018]	[16.96, 8.05]	[0.28, 0.15]	[16.96, 8.05]	[4.12, 5.63]	5.63	[, ]	[, ]	<	0.06	9.1536								Sz69	154.55	M4.5	3197	0	0.09	-2.77	0.2	-9.48	0.19	-9.47	,	Alcala+14,17,19	Sz69	3085	0.087	-2.781	0.15	-9.344	0.15	-9.341	0.13	-9.28	0.15	-9.344	--	152.56
Lupus	Sz71	J15464473-3430354	15:46:44.709	-34:30:36.054	6.4432	0.0172	155.20	1.264	155.20	[-13.853, -23.352]	II	1	[ALMA, ALMA]	[335.8, 225.66]	[0.890, 1.33]	[0.34x0.28, 0.25x0.24]	[0.37, 0.12]	[Ansdell+2016, Ansdell+2018]	[166.04, 69.15]	[0.63, 0.31]	[166.04, 69.15]	[41.79, 50.06]	50.06	[, 0.63]	[, 0.01]	--	0.45	69.84								Sz71	155.89	M1.5	3632	0.5	0.33	-2.17	0.41	-9.02	0.42	-9.03	,	Alcala+14,17,19	Sz71	3640	0.327	-2.173	0.414	-9.033	0.4275	-9.047	0.43	-9.05	0.414	-9.033	--	155.2
